date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:04:53	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2017%20Dec%202020%2008:04:56%20GMT	https://thietbidienavhh.com/robots.txt		(from )
15:04:53	26037/26037	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2008:04:56%20GMT	https://thietbidienavhh.com/	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/index.html	(from )
15:04:54	7439/7439	---M--	200	added ('OK')	image/png	etag:W/%227439-1607015501000%22	https://cdn.bksoftwarevn.com/resources/micro-upload/avhh/logo/logo-avhh.png	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/cdn.bksoftwarevn.com/resources/micro-upload/avhh/logo/logo-avhh.png	(from https://thietbidienavhh.com/)
15:04:54	220613/220613	---MCZ	200	added ('OK')	text/css	date:Wed,%2009%20Sep%202020%2002:19:08%20GMT	https://thietbidienavhh.com/plugins/bootstrap/bootstrap.min.css	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/plugins/bootstrap/bootstrap.min.css	(from https://thietbidienavhh.com/)
15:04:54	1856/1856	---MCZ	200	added ('OK')	text/css	date:Wed,%2002%20Sep%202020%2008:42:40%20GMT	https://thietbidienavhh.com/plugins/slick-1.8.1/slick.css	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/plugins/slick-1.8.1/slick.css	(from https://thietbidienavhh.com/)
15:04:54	3349/3349	---MCZ	200	added ('OK')	text/css	date:Wed,%2002%20Sep%202020%2008:42:48%20GMT	https://thietbidienavhh.com/plugins/slick-1.8.1/slick-theme.css	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/plugins/slick-1.8.1/slick-theme.css	(from https://thietbidienavhh.com/)
15:04:55	27335/27335	---MCZ	200	added ('OK')	text/css	date:Tue,%2015%20Sep%202020%2003:18:32%20GMT	https://thietbidienavhh.com/css/global.css	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/css/global.css	(from https://thietbidienavhh.com/)
15:04:56	72380/72380	---M-Z	200	added ('OK')	application/javascript	etag:W/%225eb09f0f-11abc%22	https://code.jquery.com/jquery-3.5.1.slim.min.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/code.jquery.com/jquery-3.5.1.slim.min.js	(from https://thietbidienavhh.com/)
15:04:58	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://thietbidienavhh.com/)
15:04:58	9971/9971	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2017%20Dec%202020%2008:05:01%20GMT	https://kit.fontawesome.com/63f35fe35b.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/kit.fontawesome.com/63f35fe35b.js	(from https://thietbidienavhh.com/)
15:04:59	21233/21233	---M-Z	200	added ('OK')	application/javascript	etag:W/%2252f1-MTeJyg4xtlR4TbuosPg/Nk+Gg7Q%22	https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js	(from https://thietbidienavhh.com/)
15:04:59	60044/60044	---M-Z	200	added ('OK')	text/javascript	etag:%221596732224%22	https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	(from https://thietbidienavhh.com/)
15:04:59	281/281	---MCZ	200	added ('OK')	text/css	date:Sat,%2008%20Aug%202020%2008:14:16%20GMT	https://thietbidienavhh.com/plugins/bootstrap-notify/bootstrap-notify.min.css	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/plugins/bootstrap-notify/bootstrap-notify.min.css	(from https://thietbidienavhh.com/)
15:04:59	11457/11457	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2009%20Sep%202020%2008:29:12%20GMT	https://thietbidienavhh.com/plugins/bootstrap-notify.min.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/plugins/bootstrap-notify.min.js	(from https://thietbidienavhh.com/)
15:05:00	1583/1583	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2008%20Aug%202020%2008:14:56%20GMT	https://thietbidienavhh.com/plugins/bootstrap-notify/bootstrap-notify.min.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/plugins/bootstrap-notify/bootstrap-notify.min.js	(from https://thietbidienavhh.com/)
15:05:00	42864/42864	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2002%20Sep%202020%2008:43:26%20GMT	https://thietbidienavhh.com/plugins/slick-1.8.1/slick.min.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/plugins/slick-1.8.1/slick.min.js	(from https://thietbidienavhh.com/)
15:05:00	52244/52244	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2002%20Sep%202020%2008:44:24%20GMT	https://thietbidienavhh.com/plugins/particles/particles.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/plugins/particles/particles.js	(from https://thietbidienavhh.com/)
15:05:00	43009/43009	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2009%20Sep%202020%2013:09:46%20GMT	https://thietbidienavhh.com/plugins/pagination/pagination.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/plugins/pagination/pagination.js	(from https://thietbidienavhh.com/)
